AKST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees<br />
2014-2-12,1,-4,-8,-3,-6,-11,86,76,63,997,996,994,16,10,1,29,18,35,0.00,7,中雪,103<br />
2014-2-13,2,1,-1,0,-2,-10,100,84,44,993,991,985,16,8,0,37,23,50,5.33,6,雾-中雪,111<br />
2014-2-14,4,2,1,1,1,-1,100,89,70,992,985,978,16,12,2,37,16,52,16.76,8,中雨-中雪,55<br />
2014-2-15,7,2,-2,1,0,-4,100,82,63,989,980,976,16,10,1,48,31,82,12.95,8,雾-中雨-中雪,120<br />
2014-2-16,3,1,-1,-2,-3,-4,92,79,64,989,986,982,16,13,2,26,14,37,1.02,7,中雪,96<br />
2014-2-17,3,1,0,1,-1,-3,96,83,62,992,989,982,16,13,3,39,16,50,0.51,8,中雨-中雪,103<br />
2014-2-18,4,1,-2,0,-3,-5,100,80,53,995,991,987,16,12,1,21,11,,2.29,6,中雪,92<br />
2014-2-19,3,0,-2,0,-2,-3,96,86,70,1004,1002,996,16,11,2,21,6,,0.51,7,中雪,102<br />
2014-2-20,2,0,-2,0,-2,-3,96,89,78,1022,1012,1004,16,10,1,34,13,35,4.06,7,中雪,283<br />
2014-2-21,3,0,-2,-2,-3,-4,96,85,64,1025,1023,1022,16,12,2,14,10,,0.25,7,中雪,84<br />
2014-2-22,1,-1,-2,-4,-11,-16,88,50,33,1027,1026,1025,16,16,16,23,11,34,0.00,0,,91<br />
2014-2-23,3,0,-3,-7,-14,-18,59,35,24,1026,1022,1018,16,16,16,16,11,37,0.00,0,,70<br />
2014-2-24,4,-1,-5,-6,-10,-14,69,50,27,1021,1020,1019,16,16,16,23,8,,0.00,2,,73<br />
2014-2-25,7,3,-1,1,-3,-7,79,63,42,1020,1017,1015,16,16,16,23,10,,0.00,3,,323<br />
2014-2-26,8,4,2,4,2,1,96,85,68,1014,1010,1007,16,16,16,10,3,,0.00,3,,80<br />
2014-2-27,6,3,1,3,1,-1,92,82,71,1013,1010,1007,16,16,16,11,5,,0.00,5,,17<br />
2014-2-28,8,4,1,2,-2,-6,92,68,42,1014,1013,1013,16,16,16,13,5,,0.00,2,,350<br />
2014-3-1,6,2,-2,-6,-11,-14,61,42,27,1014,1013,1011,16,16,16,26,8,40,0.00,0,,90<br />
2014-3-2,2,-1,-3,-15,-17,-19,36,29,23,1010,1009,1007,16,16,16,24,13,,0.00,0,,82<br />
2014-3-3,-1,-3,-5,-15,-18,-21,43,32,26,1015,1011,1008,16,16,16,19,10,,0.00,1,,86<br />
2014-3-4,-2,-3,-4,-7,-11,-14,75,57,43,1018,1017,1015,16,16,13,26,16,,0.00,8,中雪,106<br />
2014-3-5,2,-2,-6,-7,-10,-14,88,59,30,1014,1006,1000,16,16,16,13,5,,0.00,0,,358<br />
2014-3-6,3,-2,-7,-7,-11,-14,71,49,30,1006,1003,1000,16,16,16,21,6,,0.00,0,,130<br />
2014-3-7,7,3,0,2,-2,-9,82,66,52,1005,995,988,16,16,8,45,18,60,2.03,8,中雨-中雪,99<br />
2014-3-8,7,6,5,5,3,2,93,87,71,991,987,983,16,11,5,35,26,50,32.51,8,中雨,131<br />
2014-3-9,5,3,2,3,2,1,100,90,79,1010,1000,990,16,12,3,26,14,39,21.08,8,中雨,142<br />
2014-3-10,8,4,2,3,2,0,100,85,63,1014,1011,1008,16,15,8,50,18,64,6.35,7,中雨,109<br />
2014-3-11,7,6,4,7,4,2,100,89,68,1010,1006,1004,16,9,2,29,19,40,32.77,8,中雨,126<br />
2014-3-12,7,4,3,3,2,0,96,84,71,1018,1013,1006,16,15,11,32,14,34,2.29,7,中雨,155<br />
2014-3-13,7,6,4,1,0,-1,82,67,58,1016,1006,993,16,15,6,32,21,42,1.02,8,中雨,113<br />
2014-3-14,7,4,2,4,2,-2,93,84,58,1012,1004,991,16,13,4,27,18,45,9.40,8,中雨-中雪,157<br />
2014-3-15,6,4,2,3,1,-2,93,80,58,1011,998,994,16,15,10,27,13,39,8.13,8,中雨,48<br />
2014-3-16,4,2,1,2,-1,-6,93,79,49,1016,1007,997,16,15,8,35,23,,3.05,7,中雨-中雪,317<br />
2014-3-17,6,4,2,3,2,-2,89,83,76,1016,1014,1012,16,14,6,23,16,,5.59,8,中雨-中雪,130<br />
2014-3-18,4,2,1,2,1,-1,97,87,73,1014,1005,1000,16,11,2,34,16,,13.97,8,中雨-中雪,343<br />
2014-3-19,6,3,0,2,1,-1,100,90,70,1019,1013,1010,16,13,2,21,10,,2.54,6,中雨-中雪,112<br />
2014-3-20,6,1,-2,1,-1,-2,96,85,67,1027,1025,1020,16,16,16,14,5,,0.00,2,,212<br />
2014-3-21,7,2,-1,-1,-3,-6,92,65,47,1027,1023,1020,16,16,16,35,13,47,0.00,4,,99<br />
2014-3-22,7,4,1,-3,-7,-9,60,45,32,1028,1025,1021,16,16,16,23,13,,0.00,2,,92<br />
2014-3-23,7,2,-1,-8,-11,-13,54,38,28,1029,1027,1024,16,16,16,26,13,35,0.00,0,,93<br />
2014-3-24,6,4,3,-5,-12,-16,49,30,23,1023,1014,1006,16,16,16,32,19,47,0.00,6,,76<br />
2014-3-25,8,6,3,-3,-5,-7,60,48,42,1005,1002,999,16,16,16,27,13,39,0.00,5,,86<br />
2014-3-26,7,6,4,-3,-6,-9,58,47,36,1007,1004,1000,16,16,16,21,8,27,0.00,8,,96<br />
2014-3-27,7,4,3,-4,-7,-9,57,45,37,1008,1007,1007,16,16,16,26,13,,0.00,6,,91<br />
2014-3-28,9,3,-1,-4,-7,-9,67,49,33,1008,1003,1000,16,16,16,26,6,,0.00,1,,351<br />
2014-3-29,11,6,1,-2,-6,-8,70,48,28,1005,1003,1001,16,16,16,19,6,,0.00,2,,8<br />
2014-3-30,10,6,2,1,-2,-4,70,60,42,1015,1010,1006,16,16,16,13,5,,0.00,3,,334<br />
2014-3-31,9,6,2,3,1,-1,82,72,56,1018,1017,1015,16,16,16,32,6,,0.00,2,,312<br />
2014-4-1,6,3,2,1,0,-1,89,80,70,1016,1013,1012,16,16,16,16,5,,0.00,7,,167<br />
2014-4-2,6,3,1,2,1,0,96,86,70,1012,1008,1005,16,16,11,16,5,,2.03,7,中雨,103<br />
2014-4-3,7,3,0,1,0,-1,96,78,58,1007,1007,1005,16,16,16,26,6,,0.00,4,,348<br />
2014-4-4,7,3,-1,2,-1,-4,89,71,47,1006,1004,1000,16,16,8,27,10,39,2.03,7,中雨,114<br />
2014-4-5,7,6,4,4,3,1,97,87,76,1007,1002,999,16,13,6,27,14,37,14.99,8,中雨,123<br />
2014-4-6,9,6,4,4,3,1,93,79,61,1012,1008,997,16,15,8,29,13,39,4.06,8,中雨,124<br />
2014-4-7,9,7,4,6,4,2,96,88,71,998,994,989,16,7,2,50,29,72,29.21,8,中雨,160<br />
2014-4-8,7,5,3,3,2,1,93,83,70,1008,1005,999,16,15,4,32,18,48,7.11,8,中雨,202<br />
2014-4-9,6,3,2,4,2,1,100,87,73,1009,1005,1000,16,13,3,35,13,42,11.94,8,中雨,134<br />
2014-4-10,6,4,3,4,2,-3,97,83,60,1010,1008,1005,16,14,3,26,8,26,1.78,8,中雨,280<br />
2014-4-11,10,4,1,0,-2,-6,92,62,39,1027,1021,1011,16,16,16,35,19,35,0.00,0,,338<br />
2014-4-12,8,3,-1,2,-1,-3,85,72,53,1028,1027,1026,16,16,16,11,5,,0.00,1,,190<br />
2014-4-13,8,4,2,1,-1,-2,82,68,52,1026,1024,1019,16,16,16,10,3,,0.00,6,,239<br />
2014-4-14,8,6,4,6,4,1,93,86,73,1018,1011,1009,16,16,13,16,5,,2.54,8,中雨,302<br />
2014-4-15,7,7,6,6,4,4,97,89,82,1013,1012,1010,16,15,6,16,5,,2.54,8,中雨,250<br />
2014-4-16,12,8,5,4,2,0,96,68,47,1013,1005,995,16,16,16,23,10,34,0.25,7,,104<br />
2014-4-17,9,7,6,6,4,1,92,80,63,1001,995,991,16,15,8,19,13,,1.78,8,中雨,312<br />
2014-4-18,9,7,4,4,3,-1,93,79,48,1009,1006,1002,16,14,6,24,13,,9.65,6,中雨,126<br />
2014-4-19,11,9,8,3,0,-2,66,52,44,1001,995,992,16,16,16,39,27,63,0.00,6,中雨,102<br />
2014-4-20,12,9,7,4,2,1,82,67,50,1008,1006,996,16,16,14,32,23,48,1.78,8,中雨,121<br />
2014-4-21,8,7,3,3,2,1,86,73,61,1017,1014,1008,16,16,16,27,16,39,0.00,5,中雨,157<br />
2014-4-22,10,6,2,4,2,0,92,81,63,1014,1009,1007,16,16,16,35,13,,0.00,3,,321<br />
2014-4-23,8,6,5,4,3,3,93,82,74,1008,1007,1005,16,16,13,19,13,,0.00,7,,298<br />
2014-4-24,10,7,4,4,2,1,89,78,66,1009,1006,1005,16,16,16,32,11,,0.00,5,,310<br />
2014-4-25,10,6,3,4,3,1,89,77,63,1010,1008,1003,16,16,16,19,10,,0.00,2,,288<br />
2014-4-26,12,8,6,3,1,-1,82,58,45,1003,998,995,16,16,16,34,14,50,0.00,6,,105<br />
2014-4-27,9,8,6,5,4,1,89,76,54,1007,999,994,16,16,8,26,18,37,1.02,7,中雨,175<br />
2014-4-28,10,8,6,5,3,2,92,77,57,1013,1011,1007,16,16,16,29,10,48,0.25,8,中雨,98<br />
2014-4-29,10,8,6,5,3,2,86,75,61,1026,1021,1012,16,15,6,35,23,58,4.83,5,中雨,168<br />
2014-4-30,14,8,4,6,3,2,93,71,49,1029,1026,1024,16,16,16,21,3,,0.00,2,,275<br />
2014-5-1,20,12,5,6,1,-4,86,53,20,1029,1023,1016,16,16,16,21,5,35,0.00,0,,36<br />
2014-5-2,22,17,13,-1,-4,-7,40,23,16,1015,1015,1014,16,16,16,27,10,39,0.00,1,,99<br />
2014-5-3,19,14,9,-1,-7,-12,48,25,12,1015,1014,1013,16,16,16,27,8,37,0.00,0,,69<br />
2014-5-4,16,9,5,7,2,-4,86,62,44,1016,1015,1013,16,16,16,16,5,,0.00,0,,227<br />
2014-5-5,11,9,7,6,5,4,86,79,71,1020,1017,1014,16,16,16,29,14,,0.00,7,,312<br />
2014-5-6,11,9,7,4,4,3,82,73,63,1020,1019,1016,16,16,16,19,11,,0.00,5,,267<br />
2014-5-7,12,9,7,5,3,-1,82,65,44,1015,1011,1008,16,16,14,24,6,34,0.00,7,,247<br />
2014-5-8,14,10,7,7,6,4,93,76,53,1008,1006,1005,16,16,14,13,6,,1.27,7,中雨,311<br />
2014-5-9,16,11,6,8,7,4,93,76,60,1015,1009,1005,16,16,16,29,6,,0.00,0,,300<br />
2014-5-10,11,10,9,7,7,6,87,82,77,1024,1021,1016,16,16,16,19,11,,0.00,7,,277<br />
2014-5-11,9,8,8,6,6,5,83,80,77,1026,1025,1024,16,16,16,11,5,,0.00,8,,245<br />
2014-5-12,14,11,7,8,7,5,93,73,55,1025,1024,1023,16,16,16,21,8,,0.25,7,中雨,111<br />
2014-5-13,15,12,10,11,9,8,89,79,67,1024,1022,1019,16,16,11,29,8,39,2.54,8,中雨,141<br />
2014-5-14,11,10,9,9,8,7,93,88,83,1027,1023,1021,16,16,13,16,10,,0.25,8,中雨,241<br />
2014-5-15,14,11,9,9,8,7,96,86,67,1028,1025,1020,16,16,13,13,3,,0.00,5,中雨,232<br />
2014-5-16,21,14,8,9,7,4,90,62,42,1020,1015,1012,16,16,16,14,5,,0.00,0,,211<br />
2014-5-17,14,12,10,9,9,8,96,84,72,1014,1014,1012,16,14,3,23,11,,0.00,6,,261<br />
2014-5-18,11,9,9,9,8,7,100,90,80,1014,1013,1009,16,12,1,16,10,,0.00,8,,218<br />
2014-5-19,11,10,8,8,7,5,93,83,71,1010,1008,1006,16,14,5,34,16,48,0.76,8,中雨,180<br />
2014-5-20,11,9,7,6,6,4,86,80,74,1014,1011,1010,16,16,10,23,14,32,3.05,8,中雨,150<br />
2014-5-21,14,10,7,7,5,3,90,73,55,1014,1010,1006,16,16,16,26,11,,1.02,6,中雨,346<br />
2014-5-22,15,9,5,7,6,3,89,74,60,1007,1005,1003,16,16,16,35,10,,0.00,3,,313<br />
2014-5-23,14,10,7,8,6,5,93,77,62,1018,1012,1007,16,16,16,21,8,,0.00,3,,219<br />
2014-5-24,13,10,8,7,6,5,86,78,62,1019,1018,1017,16,16,16,14,5,,0.00,4,,159<br />
2014-5-25,18,12,7,8,5,4,90,65,43,1016,1015,1013,16,16,16,27,8,,0.00,2,,308<br />
2014-5-26,14,11,7,7,6,4,82,71,62,1024,1019,1015,16,16,16,34,16,,0.00,4,,322<br />
2014-5-27,12,11,10,6,5,4,77,70,57,1027,1026,1024,16,16,16,24,16,,0.00,8,,312<br />
2014-5-28,11,10,9,8,7,5,93,80,71,1026,1024,1021,16,15,5,11,6,,0.00,8,,240<br />
2014-5-29,14,11,9,9,8,8,100,88,72,1022,1021,1020,16,12,2,14,3,,0.76,8,中雨,234<br />
2014-5-30,12,11,10,9,9,7,92,88,77,1022,1020,1018,16,14,4,24,8,34,1.78,8,中雨,201<br />
2014-5-31,12,10,8,10,8,4,100,89,63,1028,1023,1019,16,9,2,26,13,39,6.10,8,中雨,191<br />
2014-6-1,13,10,7,7,5,3,93,74,57,1028,1027,1025,16,16,16,26,8,,0.00,6,,299<br />
2014-6-2,13,10,8,8,7,6,93,85,71,1025,1023,1022,16,15,5,32,10,,1.27,8,中雨,286<br />
2014-6-3,10,8,7,7,6,5,93,82,74,1022,1021,1021,16,14,6,21,6,,3.56,7,中雨,306<br />
2014-6-4,16,11,7,9,7,6,97,86,70,1026,1024,1022,16,13,3,14,3,,0.00,8,,222<br />
2014-6-5,13,10,8,7,7,6,90,77,66,1026,1025,1022,16,16,16,21,6,,0.00,4,,215<br />
2014-6-6,15,11,7,9,7,5,93,74,55,1022,1020,1016,16,16,16,11,5,,0.51,3,中雨,320<br />
2014-6-7,13,11,10,12,10,7,97,92,77,1016,1014,1012,16,10,3,24,10,32,10.67,8,中雨,217<br />
2014-6-8,12,10,9,9,8,7,93,85,76,1015,1012,1010,16,13,3,27,16,39,18.80,8,中雨,160<br />
2014-6-9,14,11,9,9,8,8,97,87,74,1020,1018,1015,16,14,6,19,10,,8.89,8,中雨,148<br />
2014-6-10,15,11,9,9,8,7,97,84,64,1021,1021,1020,16,16,8,16,8,,0.25,6,中雨,124<br />
2014-6-11,15,11,7,8,7,6,93,75,58,1020,1019,1019,16,16,16,26,8,,0.00,5,,326<br />
2014-6-12,14,12,11,7,7,6,77,68,57,1019,1018,1018,16,16,16,32,18,,0.00,5,,306<br />
2014-6-13,12,10,9,9,7,6,97,81,67,1018,1012,1007,16,12,4,26,11,29,7.37,8,中雨,139<br />
2014-6-14,13,10,9,9,8,6,94,86,69,1008,1007,1006,16,13,5,24,14,34,14.48,8,中雨,144<br />
2014-6-15,15,11,9,10,8,7,93,81,67,1014,1011,1008,16,16,16,21,11,,6.10,6,中雨,337<br />
2014-6-16,15,11,7,9,8,7,97,82,64,1016,1015,1013,16,16,16,19,6,,0.00,4,中雨,226<br />
2014-6-17,14,11,9,11,9,7,97,87,74,1014,1010,1007,16,9,2,32,18,47,24.13,8,中雨,173<br />
2014-6-18,13,10,8,8,7,6,93,84,69,1017,1015,1014,16,14,3,21,10,,10.41,7,中雨,117<br />
2014-6-19,15,11,7,9,7,6,96,81,57,1014,1010,1006,16,16,11,21,8,,3.05,6,中雨,283<br />
2014-6-20,14,11,9,9,8,6,93,85,64,1014,1008,1005,16,14,4,23,8,,3.81,7,中雨,138<br />
2014-6-21,16,13,11,8,6,5,75,64,55,1012,1010,1007,16,16,16,27,18,35,0.25,7,中雨,113<br />
2014-6-22,14,13,12,12,9,6,97,81,58,1011,1008,1003,16,16,13,34,19,48,3.81,8,中雨,143<br />
2014-6-23,14,12,11,13,12,11,100,97,88,1011,1010,1008,16,10,0,11,3,,10.41,8,雾-中雨,289<br />
2014-6-24,12,11,10,12,11,9,100,95,86,1018,1013,1008,16,10,1,32,8,34,9.14,8,中雨,190<br />
2014-6-25,13,11,9,9,8,6,93,82,66,1018,1017,1012,16,16,11,24,11,34,1.27,8,中雨,142<br />
2014-6-26,15,12,9,9,8,7,93,77,58,1011,1005,1001,16,16,16,16,8,,0.00,3,,287<br />
2014-6-27,18,13,10,9,8,7,86,69,55,1001,1001,1000,16,16,16,16,6,,0.00,5,,290<br />
2014-6-28,19,15,12,12,11,8,90,79,63,1011,1006,1002,16,16,16,14,8,,0.00,7,,294<br />
2014-6-29,17,14,11,13,12,10,96,88,70,1020,1016,1011,16,15,10,21,5,,4.83,7,中雨,228<br />
2014-6-30,14,13,12,12,11,10,97,92,83,1023,1022,1020,16,13,3,23,10,26,3.05,8,中雨,216<br />
2014-7-1,18,13,10,12,11,9,96,83,58,1022,1016,1009,16,16,16,11,6,,0.00,7,,337<br />
2014-7-2,22,17,13,13,11,8,96,80,51,1009,1007,1004,16,14,2,21,8,,3.56,7,中雨,327<br />
2014-7-3,18,14,12,13,12,11,97,85,72,1012,1011,1009,16,16,13,24,6,,0.25,6,,258<br />
2014-7-4,15,13,11,11,11,10,96,88,75,1013,1012,1011,16,14,3,14,3,,1.78,7,中雨,255<br />
2014-7-5,21,15,10,11,10,8,96,72,49,1012,1010,1009,16,16,16,21,8,,0.00,6,,110<br />
2014-7-6,17,14,13,11,10,8,80,71,58,1020,1018,1012,16,16,16,32,16,47,0.00,6,中雨,213<br />
2014-7-7,16,14,13,13,12,11,96,87,75,1019,1018,1017,16,15,6,26,6,40,3.56,8,中雨,211<br />
2014-7-8,13,12,12,12,12,11,100,94,86,1019,1018,1017,16,10,3,19,8,37,21.34,8,中雨,159<br />
2014-7-9,14,13,12,13,12,11,100,96,83,1024,1022,1020,16,11,2,14,8,,3.30,8,中雨,201<br />
2014-7-10,16,13,12,12,11,11,100,90,75,1024,1022,1017,16,13,2,13,5,,0.76,8,中雨,215<br />
2014-7-11,14,13,12,13,12,11,100,94,84,1016,1016,1015,16,8,3,19,8,,32.51,8,中雨,250<br />
2014-7-12,15,13,13,14,13,13,100,97,93,1022,1018,1015,16,9,3,24,11,42,8.13,8,中雨,275<br />
2014-7-13,14,13,13,14,13,13,100,98,94,1024,1023,1022,16,8,1,13,6,,7.37,8,中雨,291<br />
2014-7-14,16,14,13,14,13,11,100,94,83,1024,1024,1023,16,11,0,26,6,,0.25,8,雾,307<br />
2014-7-15,18,14,13,12,11,9,93,78,64,1025,1024,1024,16,16,16,27,19,,0.00,6,,318<br />
2014-7-16,16,13,11,11,9,8,89,76,64,1025,1024,1021,16,16,16,24,10,,0.00,6,,294<br />
2014-7-17,15,13,11,11,10,9,93,84,75,1021,1017,1010,16,15,10,14,5,,2.79,7,中雨,232<br />
2014-7-18,17,13,11,12,11,10,100,84,67,1009,1005,1004,16,16,11,16,8,,1.27,6,中雨,299<br />
2014-7-19,16,14,12,13,12,11,97,88,75,1013,1010,1005,16,14,4,14,3,,0.00,8,,292<br />
2014-7-20,14,13,11,12,11,10,94,89,77,1013,1011,1008,16,13,3,21,6,,7.87,8,中雨,155<br />
2014-7-21,21,16,11,12,11,10,97,77,52,1015,1012,1008,16,16,16,21,6,,0.00,5,,297<br />
2014-7-22,17,15,13,13,12,11,90,84,77,1020,1017,1015,16,16,16,14,5,,0.00,6,中雨,240<br />
2014-7-23,17,14,13,12,11,10,87,80,72,1019,1017,1014,16,16,16,13,5,,0.00,7,,230<br />
2014-7-24,15,14,12,12,11,11,94,84,78,1014,1013,1012,16,15,5,27,6,45,1.52,8,中雨,207<br />
2014-7-25,14,13,12,13,12,11,100,92,81,1013,1011,1010,16,13,4,21,5,,13.46,8,中雨,141<br />
2014-7-26,14,13,12,14,13,12,100,96,93,1014,1013,1011,16,12,2,24,8,39,14.48,8,中雨,216<br />
2014-7-27,16,14,13,13,12,12,100,92,78,1019,1017,1015,16,14,3,21,8,,7.62,8,中雨,213<br />
2014-7-28,15,13,12,14,12,11,97,94,90,1018,1016,1014,16,13,3,14,5,,15.49,8,中雨,261<br />
2014-7-29,16,13,11,12,11,9,96,89,75,1020,1016,1014,16,14,5,23,6,,6.35,6,中雨,153<br />
2014-7-30,16,14,12,13,12,11,97,88,78,1026,1024,1021,16,16,13,13,6,,2.03,7,中雨,160<br />
2014-7-31,19,14,10,13,11,9,100,86,65,1026,1026,1025,16,14,5,16,6,,0.00,3,,217<br />
2014-8-1,21,16,11,13,12,9,93,79,63,1025,1023,1021,16,16,16,16,6,,0.00,1,,298<br />
2014-8-2,19,14,11,13,12,11,97,86,68,1021,1020,1019,16,14,1,14,6,,0.00,2,雾,266<br />
2014-8-3,18,14,11,14,12,9,93,83,75,1020,1019,1014,16,16,16,14,8,,0.00,7,,317<br />
2014-8-4,18,16,14,15,13,11,96,85,75,1017,1015,1012,16,15,11,37,13,58,2.03,6,中雨,208<br />
2014-8-5,19,14,12,13,12,10,94,82,70,1019,1017,1016,16,16,6,21,10,29,0.76,7,中雨,178<br />
2014-8-6,17,15,13,13,12,10,96,86,72,1021,1020,1019,16,14,3,16,8,,10.92,7,中雨,135<br />
2014-8-7,17,13,10,12,11,9,93,80,67,1019,1015,1013,16,16,16,16,6,,0.00,5,,329<br />
2014-8-8,18,14,13,13,12,11,93,84,70,1016,1015,1014,16,15,5,19,6,26,5.08,8,中雨,133<br />
2014-8-9,16,15,14,14,12,10,97,81,69,1013,1010,1008,16,11,5,27,16,40,31.50,8,中雨,125<br />
2014-8-10,17,16,14,16,15,13,100,95,86,1015,1011,1008,16,6,2,26,13,35,96.52,8,中雨,148<br />
2014-8-11,18,17,15,17,15,14,100,96,90,1015,1013,1010,16,10,1,26,8,45,12.70,8,雾-中雨,290<br />
2014-8-12,18,16,14,15,14,12,100,91,75,1016,1013,1010,16,13,3,34,19,47,1.02,8,中雨,209<br />
2014-8-13,16,14,13,14,13,12,97,92,84,1016,1015,1014,16,11,3,14,6,,7.11,8,中雨,126<br />
2014-8-14,18,16,14,14,14,13,100,92,80,1016,1015,1013,16,12,3,23,10,35,10.67,7,中雨,150<br />
